,link,name,born,died,start,end,party,president,vice_president,state,senator,representative,gender,party_category,prev_time
0,/wiki/George_Washington,George Washington,1732,1799,1789,1797,Independent,Y,,,,,M,Independent,0
1,/wiki/John_Adams,John Adams,1735,1826,1797,1801,Federalist,Y,,,,,M,Federalist,0
2,/wiki/Thomas_Jefferson,Thomas Jefferson,1743,1826,1801,1809,Democratic-Republican,Y,,,,,M,Democratic-Republican,0
3,/wiki/James_Madison,James Madison,1751,1836,1809,1817,Democratic-Republican,Y,,,,,M,Democratic-Republican,0
4,/wiki/James_Monroe,James Monroe,1758,1831,1817,1825,Democratic-Republican,Y,,,,,M,Democratic-Republican,0
5,/wiki/John_Quincy_Adams,John Quincy Adams,1767,1848,1825,1828,Democratic-Republican,Y,,,,,M,Democratic-Republican,0
6,/wiki/John_Quincy_Adams,John Quincy Adams,1767,1848,1828,1829,National Republican,Y,,,,,M,Republican,3
7,/wiki/Andrew_Jackson,Andrew Jackson,1767,1845,1829,1837,Democratic,Y,,,,,M,Democratic,0
8,/wiki/Martin_Van_Buren,Martin Van Buren,1782,1862,1837,1841,Democratic,Y,,,,,M,Democratic,0
9,/wiki/William_Henry_Harrison,William Henry Harrison,1773,1841,1841,1841,Whig,Y,,,,,M,Whig,0
10,/wiki/John_Tyler,John Tyler,1790,1862,1841,1841,Whig,Y,,,,,M,Whig,0
11,/wiki/John_Tyler,John Tyler,1790,1862,1841,1845,Independent,Y,,,,,M,Independent,0
12,/wiki/James_K._Polk,James K. Polk,1795,1849,1845,1849,Democratic,Y,,,,,M,Democratic,0
13,/wiki/Zachary_Taylor,Zachary Taylor,1784,1850,1849,1850,Whig,Y,,,,,M,Whig,0
14,/wiki/Millard_Fillmore,Millard Fillmore,1800,1874,1850,1853,Whig,Y,,,,,M,Whig,0
15,/wiki/Franklin_Pierce,Franklin Pierce,1804,1869,1853,1857,Democratic,Y,,,,,M,Democratic,0
16,/wiki/James_Buchanan,James Buchanan,1791,1868,1857,1861,Democratic,Y,,,,,M,Democratic,0
17,/wiki/Abraham_Lincoln,Abraham Lincoln,1809,1865,1861,1864,Republican,Y,,,,,M,Republican,0
18,/wiki/Abraham_Lincoln,Abraham Lincoln,1809,1865,1864,1865,National Union,Y,,,,,M,Other,3
19,/wiki/Andrew_Johnson,Andrew Johnson,1808,1875,1865,1868,National Union,Y,,,,,M,Other,0
20,/wiki/Andrew_Johnson,Andrew Johnson,1808,1875,1868,1869,Democratic,Y,,,,,M,Democratic,3
21,/wiki/Ulysses_S._Grant,Ulysses S. Grant,1822,1885,1869,1877,Republican,Y,,,,,M,Republican,0
22,/wiki/Rutherford_B._Hayes,Rutherford B. Hayes,1822,1893,1877,1881,Republican,Y,,,,,M,Republican,0
23,/wiki/James_A._Garfield,James A. Garfield,1831,1881,1881,1881,Republican,Y,,,,,M,Republican,0
24,/wiki/Chester_A._Arthur,Chester A. Arthur,1829,1886,1881,1885,Republican,Y,,,,,M,Republican,0
25,/wiki/Grover_Cleveland,Grover Cleveland,1837,1908,1885,1889,Democratic,Y,,,,,M,Democratic,0
26,/wiki/Benjamin_Harrison,Benjamin Harrison,1833,1901,1889,1893,Republican,Y,,,,,M,Republican,0
27,/wiki/Grover_Cleveland,Grover Cleveland,1837,1908,1893,1897,Democratic,Y,,,,,M,Democratic,4
28,/wiki/William_McKinley,William McKinley,1843,1901,1897,1901,Republican,Y,,,,,M,Republican,0
29,/wiki/Theodore_Roosevelt,Theodore Roosevelt,1858,1919,1901,1909,Republican,Y,,,,,M,Republican,0
30,/wiki/William_Howard_Taft,William Howard Taft,1857,1930,1909,1913,Republican,Y,,,,,M,Republican,0
31,/wiki/Woodrow_Wilson,Woodrow Wilson,1856,1924,1913,1921,Democratic,Y,,,,,M,Democratic,0
32,/wiki/Warren_G._Harding,Warren G. Harding,1865,1923,1921,1923,Republican,Y,,,,,M,Republican,0
33,/wiki/Calvin_Coolidge,Calvin Coolidge,1872,1933,1923,1929,Republican,Y,,,,,M,Republican,0
34,/wiki/Herbert_Hoover,Herbert Hoover,1874,1964,1929,1933,Republican,Y,,,,,M,Republican,0
35,/wiki/Franklin_D._Roosevelt,Franklin D. Roosevelt,1882,1945,1933,1945,Democratic,Y,,,,,M,Democratic,0
36,/wiki/Harry_S._Truman,Harry S. Truman,1884,1972,1945,1953,Democratic,Y,,,,,M,Democratic,0
37,/wiki/Dwight_D._Eisenhower,Dwight D. Eisenhower,1890,1969,1953,1961,Republican,Y,,,,,M,Republican,0
38,/wiki/John_F._Kennedy,John F. Kennedy,1917,1963,1961,1963,Democratic,Y,,,,,M,Democratic,0
39,/wiki/Lyndon_B._Johnson,Lyndon B. Johnson,1908,1973,1963,1969,Democratic,Y,,,,,M,Democratic,0
40,/wiki/Richard_Nixon,Richard Nixon,1913,1994,1969,1974,Republican,Y,,,,,M,Republican,0
41,/wiki/Gerald_Ford,Gerald Ford,1913,2006,1974,1977,Republican,Y,,,,,M,Republican,0
42,/wiki/Jimmy_Carter,Jimmy Carter,1924,none,1977,1981,Democratic,Y,,,,,M,Democratic,0
43,/wiki/Ronald_Reagan,Ronald Reagan,1911,2004,1981,1989,Republican,Y,,,,,M,Republican,0
44,/wiki/George_H._W._Bush,George H. W. Bush,1924,2018,1989,1993,Republican,Y,,,,,M,Republican,0
45,/wiki/Bill_Clinton,Bill Clinton,1946,none,1993,2001,Democratic,Y,,,,,M,Democratic,0
46,/wiki/George_W._Bush,George W. Bush,1946,none,2001,2009,Republican,Y,,,,,M,Republican,0
47,/wiki/Barack_Obama,Barack Obama,1961,none,2009,2017,Democratic,Y,,,,,M,Democratic,0
48,/wiki/Donald_Trump,Donald Trump,1946,none,2017,2021,Republican,Y,,,,,M,Republican,0
49,/wiki/Joe_Biden,Joe Biden,1942,none,2021,Incumbent,Democratic,Y,,,,,M,Democratic,0
50,/wiki/John_Adams,John Adams,1735,1826,1789,1795,Pro-Administration,,Y,,,,M,Other,0
51,/wiki/John_Adams,John Adams,1735,1826,1795,1797,Federalist,,Y,,,,M,Federalist,6
52,/wiki/Thomas_Jefferson,Thomas Jefferson,1743,1826,1797,1801,Democratic-Republican,,Y,,,,M,Democratic-Republican,0
53,/wiki/Aaron_Burr,Aaron Burr,1756,1836,1801,1805,Democratic-Republican,,Y,,,,M,Democratic-Republican,0
54,/wiki/George_Clinton_(vice_president),George Clinton,1739,1812,1805,1812,Democratic-Republican,,Y,,,,M,Democratic-Republican,0
55,/wiki/Elbridge_Gerry,Elbridge Gerry,1744,1814,1813,1814,Democratic-Republican,,Y,,,,M,Democratic-Republican,0
56,/wiki/Daniel_D._Tompkins,Daniel D. Tompkins,1774,1825,1817,1825,Democratic-Republican,,Y,,,,M,Democratic-Republican,0
57,/wiki/John_C._Calhoun,John C. Calhoun,1782,1850,1825,1828,Democratic-Republican,,Y,,,,M,Democratic-Republican,0
58,/wiki/John_C._Calhoun,John C. Calhoun,1782,1850,1828,1832,Nullifier,,Y,,,,M,Other,3
59,/wiki/Martin_Van_Buren,Martin Van Buren,1782,1862,1833,1837,Democratic,,Y,,,,M,Democratic,0
60,/wiki/Richard_Mentor_Johnson,Richard Mentor Johnson,1780,1850,1837,1841,Democratic,,Y,,,,M,Democratic,0
61,/wiki/John_Tyler,John Tyler,1790,1862,1841,1841,Whig,,Y,,,,M,Whig,0
62,/wiki/George_M._Dallas,George M. Dallas,1792,1864,1845,1849,Democratic,,Y,,,,M,Democratic,0
63,/wiki/Millard_Fillmore,Millard Fillmore,1800,1874,1849,1850,Whig,,Y,,,,M,Whig,0
64,/wiki/William_R._King,William R. King,1786,1853,1853,1853,Democratic,,Y,,,,M,Democratic,0
65,/wiki/John_C._Breckinridge,John C. Breckinridge,1821,1875,1857,1861,Democratic,,Y,,,,M,Democratic,0
66,/wiki/Hannibal_Hamlin,Hannibal Hamlin,1809,1891,1861,1865,Republican,,Y,,,,M,Republican,0
67,/wiki/Andrew_Johnson,Andrew Johnson,1808,1875,1865,1865,National Union,,Y,,,,M,Other,0
68,/wiki/Schuyler_Colfax,Schuyler Colfax,1823,1885,1869,1873,Republican,,Y,,,,M,Republican,0
69,/wiki/Henry_Wilson,Henry Wilson,1812,1875,1873,1875,Republican,,Y,,,,M,Republican,0
70,/wiki/William_A._Wheeler,William A. Wheeler,1819,1887,1877,1881,Republican,,Y,,,,M,Republican,0
71,/wiki/Chester_A._Arthur,Chester A. Arthur,1829,1886,1881,1881,Republican,,Y,,,,M,Republican,0
72,/wiki/Thomas_A._Hendricks,Thomas A. Hendricks,1819,1885,1885,1885,Democratic,,Y,,,,M,Democratic,0
